Date,Open,High,Low,Close,Adj Close,Volume
2018-03-12,51.1374,51.4959,50.4992,50.7362,50.7362,6120153
2018-03-13,51.4663,51.7563,49.3814,49.7596,49.7596,7956636
2018-03-14,50.3285,50.4436,48.6317,48.9638,48.9638,6090936
2018-03-15,49.2729,49.6478,48.4903,48.7895,48.7895,5212995
2018-03-16,49.0131,49.582,48.9211,48.9572,48.9572,3723942
2018-03-19,48.5034,48.5034,45.9582,46.9612,46.9612,7595343
2018-03-20,47.1552,47.5462,46.7771,47.1717,47.1717,2912322
2018-03-21,47.1263,48.3734,46.7578,46.9289,46.9289,5525424
2018-03-22,45.514,46.0306,43.2238,43.8128,43.8128,8663610
2018-03-23,43.622,44.0135,40.4894,40.5684,40.5684,9625722
2018-03-26,42.523,44.0563,41.2397,43.928,43.928,8427720
2018-03-27,44.3985,44.7177,40.7727,41.6214,41.6214,11529816
2018-03-28,41.6938,42.5888,40.6704,41.2726,41.2726,9954201
2018-03-29,41.8846,43.8326,41.4716,43.0165,43.0165,9102111
2018-04-02,42.5559,42.8158,38.6665,40.065,40.065,10707186
2018-04-03,40.7362,41.8155,39.7228,41.5819,41.5819,6438276
2018-04-04,39.6504,43.2896,39.5714,43.0264,43.0264,10872750
2018-04-05,43.8095,44.3719,43.237,43.9017,43.9017,8162289
2018-04-06,42.727,43.6253,40.1242,41.0126,41.0126,13354302
2018-04-09,41.8023,43.3785,41.3285,41.5029,41.5029,7136568
2018-04-10,43.1185,43.9576,42.4966,43.4838,43.4838,8938458
2018-04-11,42.6842,43.7635,42.6776,42.8388,42.8388,5534343
2018-04-12,43.5825,44.3916,43.464,43.8556,43.8556,6122106
2018-04-13,44.642,44.6618,42.9244,43.4739,43.4739,7555026
2018-04-16,44.3887,44.9645,43.905,44.5203,44.5203,5657145
2018-04-17,45.5568,46.2978,45.2442,45.9648,45.9648,5239605
2018-04-18,46.2511,46.5341,45.82,46.0602,46.0602,4535484
2018-04-19,45.6292,45.7707,44.6848,45.2541,45.2541,6259986
2018-04-20,45.2376,45.3396,43.6088,44.1156,44.1156,5093193
2018-04-23,44.4578,44.7342,43.4838,44.0958,44.0958,4759608
2018-04-24,44.6782,44.7671,41.4634,42.3288,42.3288,9785304
2018-04-25,42.2498,42.8487,41.266,42.6151,42.6151,7777614
2018-04-26,43.1449,44.336,42.9112,43.9148,43.9148,4868070
2018-04-27,44.2439,44.3952,43.4841,43.9872,43.9872,4747410
2018-04-30,44.3327,44.642,42.9244,42.9573,42.9573,5589357
2018-05-01,42.6908,43.2666,41.8188,43.1942,43.1942,5593791
2018-05-02,43.0922,43.5382,42.1051,42.2828,42.2828,4910505
2018-05-03,41.8056,42.3782,40.3085,41.9965,41.9965,8204139
2018-05-04,41.4963,44.0201,41.3121,43.6351,43.6351,6670173
2018-05-07,44.0794,44.6202,43.6881,44.0629,44.0629,6084618
2018-05-08,43.8392,44.2636,43.1909,44.0761,44.0761,4633722
2018-05-09,44.4249,45.514,44.1583,45.3659,45.3659,5565336
2018-05-10,45.7246,46.7808,45.695,46.6097,46.6097,6376383
2018-05-11,46.6821,47.1757,46.3695,46.873,46.873,5797152
2018-05-14,47.2514,47.638,46.7644,47.0737,47.0737,5231835
2018-05-15,46.357,46.3695,45.5585,46.0668,46.0668,6014991
2018-05-16,46.08,46.9223,46.08,46.6525,46.6525,3451395
2018-05-17,46.4715,47.156,46.0833,46.5406,46.5406,5168682
2018-05-18,46.3399,46.5275,45.9714,46.1787,46.1787,4577457
2018-05-21,47.0211,47.5311,46.8105,47.2119,47.2119,5125446
2018-05-22,47.5574,47.6693,46.6229,46.8105,46.8105,4187280
2018-05-23,46.0339,47.202,45.9615,47.1724,47.1724,3814989
2018-05-24,46.9783,47.0869,45.8332,46.9092,46.9092,2704626
2018-05-25,46.5637,46.8894,46.228,46.5143,46.5143,2305907
2018-05-29,45.5765,46.0041,44.2636,44.9842,44.9842,4960412
2018-05-30,45.695,46.9487,45.6061,46.7019,46.7019,4252408
2018-05-31,46.4057,46.6032,45.4679,45.7345,45.7345,4006447
2018-06-01,46.5439,47.33,46.5232,47.1757,47.1757,3131018
2018-06-04,47.6397,47.9753,47.5015,47.847,47.847,2755192
2018-06-05,47.8963,48.1352,47.4225,47.9852,47.9852,2453472
2018-06-06,48.2912,49.1895,47.9062,49.1895,49.1895,2982720
2018-06-07,49.3573,49.5745,48.5192,49.1204,49.1204,3373217
2018-06-08,48.7749,49.5448,48.6959,49.5054,49.5054,4579012
2018-06-11,49.6436,50.137,49.5547,49.7127,49.7127,2622226
2018-06-12,49.9595,50.0927,49.4856,49.9298,49.9298,2454697
2018-06-13,50.0286,50.1865,49.2783,49.3573,49.3573,3227586
2018-06-14,49.762,50.073,49.3936,49.7719,49.7719,2358656
2018-06-15,49.2882,49.7423,48.5972,49.5646,49.5646,3117475
2018-06-18,48.6169,49.2981,48.3504,49.2092,49.2092,3152969
2018-06-19,47.8371,48.7946,47.6002,48.6663,48.6663,3729524
2018-06-20,49.079,49.2964,48.7035,48.8616,48.8616,2474688
2018-06-21,48.8418,48.8814,47.6611,47.9723,47.9723,2695508
2018-06-22,48.6936,48.7567,48.0909,48.1996,48.1996,1844923
2018-06-25,47.5079,47.6067,45.2452,46.2827,46.2827,6563533
2018-06-26,46.5692,47.004,46.1058,46.5297,46.5297,2583348
2018-06-27,46.8459,47.6841,45.2918,45.3637,45.3637,4261208
2018-06-28,45.255,46.5593,44.8993,46.174,46.174,3046563
2018-06-29,46.7471,47.5277,46.2728,46.3222,46.3222,3297019
2018-07-02,45.3538,46.6878,45.255,46.5791,46.5791,2651588
2018-07-03,47.1225,47.1621,45.8479,46.0455,46.0455,1635841
2018-07-05,46.7372,47.2312,46.1048,47.2016,47.2016,2454978
2018-07-06,47.2115,48.6047,46.9842,48.3379,48.3379,3421347
2018-07-09,49.0098,49.7015,48.9604,49.6718,49.6718,2399791
2018-07-10,49.8991,50.2746,49.7707,50.1955,50.1955,2887944
2018-07-11,49.2865,49.741,48.911,49.1383,49.1383,4748671
2018-07-12,49.8695,50.4426,49.4841,50.3932,50.3932,3183740
2018-07-13,50.2845,50.7192,50.0276,50.492,50.492,3147234
2018-07-16,50.5611,50.6369,50.1264,50.3833,50.3833,2302570
2018-07-17,49.909,51.233,49.8794,51.0157,51.0157,2586987
2018-07-18,51.0157,51.3714,50.7736,51.3022,51.3022,1722416
2018-07-19,50.8971,51.0947,50.4031,50.7094,50.7094,3202305
2018-07-20,50.5611,50.948,50.4228,50.5315,50.5315,2673058
2018-07-23,50.3932,50.907,50.1758,50.8279,50.8279,2062163
2018-07-24,51.6184,52.0631,51.0255,51.5196,51.5196,3560532
2018-07-25,51.4208,53.0512,51.3615,52.9227,52.9227,2807104
2018-07-26,52.399,52.898,52.3298,52.4188,52.4188,2128192
2018-07-27,52.6954,52.7053,50.8082,51.401,51.401,3355686
2018-07-30,51.4208,51.5295,50.2351,50.5414,50.5414,3526011
2018-07-31,51.0651,51.6876,50.7983,51.2923,51.2923,2998376
2018-08-01,51.401,51.737,50.66,51.0848,51.0848,1992884
2018-08-02,50.2449,51.9593,50.1066,51.8358,51.8358,2738275
2018-08-03,51.9346,52.5472,51.8259,52.5373,52.5373,2755145
2018-08-06,52.5176,53.2784,52.2953,53.1104,53.1104,2222062
2018-08-07,53.4859,53.8416,53.4266,53.5847,53.5847,2319208
2018-08-08,53.4958,53.7643,53.2389,53.4662,53.4662,1851087
2018-08-09,53.5551,53.7922,53.1895,53.2587,53.2587,1621981
2018-08-10,52.3101,52.6954,51.7567,52.1816,52.1816,3460070
2018-08-13,52.3496,52.735,51.4109,51.6283,51.6283,3604202
2018-08-14,52.0631,52.7251,51.8092,52.5966,52.5966,2510838
2018-08-15,51.7271,51.809,50.4821,51.4406,51.4406,4748554
2018-08-16,52.2607,53.1598,52.2508,52.6065,52.6065,3017795
2018-08-17,52.4287,53.4365,52.2258,53.1203,53.1203,3531341
2018-08-20,53.4365,53.6591,53.15,53.5254,53.5254,1973744
2018-08-21,53.8021,54.4147,53.7231,53.8219,53.8219,2977091
2018-08-22,53.6045,54.0837,53.4266,53.7922,53.7922,1841098
2018-08-23,53.5946,54.1677,53.3081,53.4859,53.4859,2608122
2018-08-24,53.8713,54.563,53.8416,54.4543,54.4543,2504215
2018-08-27,55.2447,55.8277,55.1459,55.719,55.719,2836871
2018-08-28,56.0747,56.1242,55.5412,55.7981,55.7981,2546701
2018-08-29,55.9562,56.8751,55.8178,56.7071,56.7071,3287981
2018-08-30,56.3514,56.628,55.6202,55.9759,55.9759,3559033
2018-08-31,55.7091,56.302,55.4127,55.9562,55.9562,3003458
2018-09-04,55.6894,55.9265,55.0372,55.7091,55.7091,2508949
2018-09-05,55.4522,55.5807,54.5827,55.2546,55.2546,2729783
2018-09-06,55.2744,55.4809,54.0491,54.721,54.721,3286629
2018-09-07,54.0491,55.0175,53.8831,54.3653,54.3653,2952807
2018-09-10,55.0372,55.1784,54.5234,54.6716,54.6716,2124959
2018-09-11,54.2468,55.4819,54.0174,55.2447,55.2447,2230349
2018-09-12,55.2052,55.6054,54.721,55.2546,55.2546,3063808
2018-09-13,55.9068,56.301,55.6993,56.1637,56.1637,2843614
2018-09-14,56.3415,56.4107,55.6894,56.223,56.223,2729234
2018-09-17,56.134,56.1735,55.1163,55.2843,55.2843,2453443
2018-09-18,55.4028,56.549,55.4028,56.1736,56.1736,2325465
2018-09-19,56.2032,56.6182,56.1242,56.3613,56.3613,1690704
2018-09-20,57.1024,57.9017,57.0826,57.6755,57.6755,2687713
2018-09-21,58.1596,58.2486,57.4186,57.5174,57.5174,2874347
2018-09-24,57.1419,57.2308,56.5589,56.9838,56.9838,2204979
2018-09-25,57.2428,57.3099,56.6281,56.7565,56.7565,1731338
2018-09-26,56.8434,57.6443,55.9931,56.2304,56.2304,2844998
